1,11,10
2,11,10
3,11,10
4,11,10
5,11,10
6,11,10
7,11,10
8,11,10
9,11,10
10,11,10
11,27,10
12,27,10
13,27,10
14,27,10
15,27,10
16,27,10
17,27,10
18,27,10
19,27,10
20,27,10
21,27,10
22,27,10
23,27,10
24,27,10
25,27,10
26,27,10
27,28,10
28,29,10
29,30,10
30,31,10
30,32,10
30,33,10
30,34,10
30,35,10
30,36,10
30,37,10
30,38,10
30,39,10
30,40,10
30,41,10
30,42,10
30,43,10
30,44,10
30,45,10
30,46,10
30,47,10
30,48,10
30,49,10
30,50,10
30,51,10
30,52,10
30,53,10
30,54,10
30,55,10
30,56,10
30,57,10
30,58,10
30,59,10
30,60,10
30,61,10
30,62,10
30,63,10
30,64,10
30,65,10
30,66,10
66,67,10
67,68,10
67,69,10
67,70,10
67,71,10
67,72,10
67,73,10
67,74,10
67,75,10
67,76,10
67,77,10
67,78,10
67,79,10
11,80,10
80,81,10
81,82,10
82,83,10
81,84,10
84,85,10
85,86,10
86,87,10
86,88,10
86,89,10
86,90,10
86,91,10
86,92,10
86,93,10
86,94,10
86,95,10
86,96,10
86,97,10
86,98,10
86,99,10
86,100,10
86,101,10
86,102,10
86,103,10
86,104,10
86,105,10
86,106,10
86,107,10
86,108,10
86,109,10
85,110,10
110,111,10
110,112,10
110,113,10
110,114,10
110,115,10
110,116,10
110,117,10
110,118,10
110,119,10
110,120,10
110,121,10
110,122,10
110,123,10
110,124,10
110,125,10
